"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"MZT2A.1",1.35564396931765e-08,-1.11381699805071,0.08,0.291,0.000454655874429754,"6","MZT2A"
"NCK2.3",1.40611940696917e-08,-1.43495035697141,0.057,0.254,0.000471584326709321,"6","NCK2"
"SELENOW.2",1.46700626572047e-08,-1.20302137334711,0.12,0.344,0.000492004561397331,"6","SELENOW"
"AMD1.1",1.6559740666322e-08,-1.16974764613566,0.183,0.404,0.000555380582467107,"6","AMD1"
"PRPF4B",1.88324557841451e-08,-1.20229403065156,0.114,0.327,0.00063160290208866,"6","PRPF4B"
"PNN",2.05517028348063e-08,-1.17699391741529,0.126,0.343,0.000689263009673734,"6","PNN"
"C9orf78.2",2.21500702678729e-08,-1.550486238113,0.063,0.258,0.00074286905664392,"6","C9orf78"
"EPC1.1",2.36030796894191e-08,-1.10693159319163,0.12,0.328,0.000791600086623739,"6","EPC1"
"RNASET2.4",2.45374630674323e-08,1.57777657606043,0.423,0.281,0.000822937436355543,"6","RNASET2"
"RSL1D1",2.5705692586948e-08,-1.5041004955893,0.103,0.301,0.00086211751798106,"6","RSL1D1"
"ANXA6",2.71052369977349e-08,-1.59099952289452,0.069,0.263,0.000909055438430032,"6","ANXA6"
"SNRPD2",2.7208924141279e-08,-1.02581193416115,0.143,0.371,0.000912532897850215,"6","SNRPD2"
"ABHD17A.3",2.992357053349e-08,-1.40959291517201,0.114,0.317,0.00100357670855219,"6","ABHD17A"
"SPCS2",3.09319543377561e-08,-1.02362607280921,0.137,0.345,0.00103739588457966,"6","SPCS2"
"RABAC1",3.18774415954748e-08,-1.01574079343323,0.171,0.39,0.00106910563622903,"6","RABAC1"
"VPS37B.4",3.48200255965174e-08,-1.88305372258961,0.126,0.317,0.001167794018456,"6","VPS37B"
"PRPF38B.1",4.07021123661392e-08,-1.38099776534731,0.149,0.349,0.00136506744453558,"6","PRPF38B"
"ZC3HAV1.1",5.25673937427401e-08,-1.15275523410011,0.143,0.355,0.00176300525134402,"6","ZC3HAV1"
"PFKFB3",6.26650148625809e-08,1.7477941871726,0.32,0.184,0.00210165926846124,"6","PFKFB3"
"ARID1B",6.46439388914439e-08,-1.25899229352733,0.12,0.317,0.00216802842254124,"6","ARID1B"
"SYF2",6.79472139528608e-08,-1.44449994112817,0.12,0.317,0.00227881366155105,"6","SYF2"
"SP100",7.5846249929153e-08,-1.39600794900107,0.126,0.317,0.00254373153012393,"6","SP100"
"LSM8",8.46292271962663e-08,-1.82724920173188,0.086,0.268,0.00283829502170838,"6","LSM8"
"AKAP9",8.95536544676417e-08,-1.08469379093047,0.143,0.334,0.00300345046353577,"6","AKAP9"
"RASGEF1B.1",9.6740793829441e-08,2.12271226159006,0.286,0.152,0.00324449274345179,"6","RASGEF1B"
"RNMT.2",1.11512773516608e-07,-1.41231368954002,0.091,0.277,0.00373991539820001,"6","RNMT"
